id,amazonBiomeArea_ha_25Sites,forestArea_ha_25Sites,otherArea_ha_25Sites,workerPerHa_25Sites,z_0_25Sites,zbar_25Sites,x_0_25Sites,b_25Sites,theta_25Sites,gamma_25Sites,x_0_alt_25Sites,b_alt_25Sites,theta_alt_25Sites,d_theta_winsorized,pastureArea_value,gamma_alt_25Sites,a_25Sites,k_25Sites,zeta_25Sites,zeta_alt_25Sites,rho_25Sites,r_25Sites,C_0_25Sites,C_0_alt_25Sites,C_0_old_25Sites,C0bern_0_25Sites,C1bern_0_25Sites,C2bern_0_25Sites,C3bern_0_25Sites,u_25Sites,u_alt_25Sites,u_old_25Sites,u_bern_25Sites,theta_scenario2_25Sites,theta_scenario3_25Sites,theta_scenario4_25Sites,theta_scenario5_25Sites,p_0_25Sites,p_0_alt_25Sites
1,835019.24706884,827265.5800701508,8132.98579215894,0.04192290940698657,577.0929400978703,827842.6730102487,384025179.7772737,17296037.39175328,8.41355448061274e-14,464.21027180256795,422811722.9347784,19042937.168320358,7.64173885614236e-14,1,0.02181669823518516,511.0955092546273,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,19915817919.704426,21715788326.40128,6942738120.186307,7333282107.023581,7698074019.770763,3965401987.0178003,67365853.28576563,2.008453790914837e-9,1.841977799690073e-9,5.761415641430907e-9,2.098181908019197e-9,1.6127128610325292e-11,3.026805128738428e-11,4.354540616737096e-11,4.7798477567952056e-11,44.53497930237984,43.68293056940959
2,5983815.8727424415,5918368.32325191,62309.389169508286,0.038641476089400634,5589.185180833704,5923957.508432743,2720525295.1748037,122559441.61034073,8.415938794238545e-14,459.67488783800167,2995298349.9874587,134937945.21298513,7.643904445266615e-14,0,15888.358730418193,506.1020515096398,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,19915817919.704426,21715788326.40128,6942738120.186307,7333282107.023581,7698074019.770763,3965401987.0178003,67365853.28576563,2.008453790914837e-9,1.841977799690073e-9,5.761415641430907e-9,2.098181908019197e-9,1.874306803275352e-11,3.5177752853976485e-11,5.060879280062094e-11,5.5551743807920064e-11,44.53497930237984,43.68293056940959
3,21167120.751716275,15481629.502034862,4901445.072684618,0.038525445459091756,787674.0828325496,16269303.58486741,7328919239.368394,346638095.03640145,7.440859599463638e-13,473.394563434366,8069140082.544601,381648542.63507795,6.758273932301215e-13,0,1019375.9753759223,521.2074143412369,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,19915817919.704426,21715788326.40128,6942738120.186307,7333282107.023581,7698074019.770763,3965401987.0178003,67365853.28576563,2.008453790914837e-9,1.841977799690073e-9,5.761415641430907e-9,2.098181908019197e-9,1.916327022184375e-11,3.596640542305881e-11,5.174339496313096e-11,5.679716234425977e-11,44.53497930237984,43.68293056940959
4,8842695.163339837,8307459.240169194,528006.4475258578,0.0305987421401925,9646.86174464566,8317106.10191384,5092449026.000752,229464112.77434748,6.5337495887580075e-12,612.9971726345825,5606786377.626829,252639988.1645566,5.934377464811996e-12,0,116427.16726448695,674.9098870706754,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,19915817919.704426,21715788326.40128,6942738120.186307,7333282107.023581,7698074019.770763,3965401987.0178003,67365853.28576563,2.008453790914837e-9,1.841977799690073e-9,5.761415641430907e-9,2.098181908019197e-9,1.802318609199731e-11,3.382664913116496e-11,4.866501519084146e-11,5.34181178148354e-11,44.53497930237984,43.68293056940959
5,13137913.82653348,11364087.944410058,1647447.872232347,0.040382847595357686,128634.50305749544,11492722.447467552,7344792296.278605,334311958.259317,9.522608403244235e-12,646.3160380496241,8086616318.2027445,368077466.043508,8.649053953900304e-12,0,451371.525146347,711.5939578926361,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,19915817919.704426,21715788326.40128,6942738120.186307,7333282107.023581,7698074019.770763,3965401987.0178003,67365853.28576563,2.008453790914837e-9,1.841977799690073e-9,5.761415641430907e-9,2.098181908019197e-9,1.7434147836929522e-11,3.272111816248352e-11,4.707453304830903e-11,5.1672293588971834e-11,44.53497930237984,43.68293056940959
6,3741019.2315529953,3625744.465382131,101010.70053351251,0.05525124175467254,16248.65368515371,3641993.1190672847,2091465936.553667,94553320.30683045,2.703546335981055e-13,576.8376554174067,2302703996.1455874,104103205.65782031,2.4555370899010486e-13,0,567.3773296241968,635.0982586145648,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,19915817919.704426,21715788326.40128,6942738120.186307,7333282107.023581,7698074019.770763,3965401987.0178003,67365853.28576563,2.008453790914837e-9,1.841977799690073e-9,5.761415641430907e-9,2.098181908019197e-9,2.126174544472721e-11,3.9904909121161367e-11,5.7409558985294205e-11,6.301673951087823e-11,44.53497930237984,43.68293056940959
7,28939360.5,27864744.22980033,997486.4839845134,0.04566786647018483,77127.05958015787,27941871.289380487,14118044619.794952,637175453.932768,7.720732989813702e-13,506.66334861585483,15543967126.394241,701530174.7799776,7.012473196924343e-13,0,5098.447119747199,557.8363468260561,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,19915817919.704426,21715788326.40128,6942738120.186307,7333282107.023581,7698074019.770763,3965401987.0178003,67365853.28576563,2.008453790914837e-9,1.841977799690073e-9,5.761415641430907e-9,2.098181908019197e-9,2.0601585865104633e-11,3.8665894756193693e-11,5.5627039745536855e-11,6.106012196163541e-11,44.53497930237984,43.68293056940959
8,28939360.5,25617910.732513636,2907818.1018265346,0.039306092479815244,413615.3758627868,26031526.108376425,12227230061.581656,559201162.2888036,3.915166505378596e-12,477.2922424959171,13462180297.801403,615680479.6799728,3.5560095416699322e-12,0,172554.9607788763,525.4987589880047,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,19915817919.704426,21715788326.40128,6942738120.186307,7333282107.023581,7698074019.770763,3965401987.0178003,67365853.28576563,2.008453790914837e-9,1.841977799690073e-9,5.761415641430907e-9,2.098181908019197e-9,2.015010997127784e-11,3.781854642534341e-11,5.440799439366451e-11,5.9722012685956e-11,44.53497930237984,43.68293056940959
9,28939360.5,25078486.645422757,2445236.2366634407,0.037125190136165984,1415637.311141416,26494123.956564173,14411551625.473948,685240526.73649,7.84610825327288e-12,574.6579460409465,15867118339.646816,754449819.9368755,7.1263471873504805e-12,0,783712.2008302079,632.6983985910821,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,19915817919.704426,21715788326.40128,6942738120.186307,7333282107.023581,7698074019.770763,3965401987.0178003,67365853.28576563,2.008453790914837e-9,1.841977799690073e-9,5.761415641430907e-9,2.098181908019197e-9,1.9867766940790892e-11,3.7288633535460274e-11,5.364563041442467e-11,5.88851887642718e-11,44.53497930237984,43.68293056940959
10,28922502.584513273,22907943.082298495,3039129.192074161,0.03512435873212318,2975490.4028124437,25883433.48511094,12187124212.706154,619756496.7175052,9.833601455590005e-12,532.0042995096941,13418023758.189474,682351902.8859731,8.931518124968215e-12,0,2181965.450248537,585.7367337601731,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,19915817919.704426,21715788326.40128,6942738120.186307,7333282107.023581,7698074019.770763,3965401987.0178003,67365853.28576563,2.008453790914837e-9,1.841977799690073e-9,5.761415641430907e-9,2.098181908019197e-9,2.0536243806058184e-11,3.854325812060718e-11,5.5450607438847854e-11,6.086645754566642e-11,44.53497930237984,43.68293056940959
